title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
A Multi-Agent LLM-Driven Intelligent EV Charging Framework with Rag based Personalization and CGAN-Generated Behavioral Modeling,Santharam M; B. Ashok Kumar; S. Senthilrani; J. Rajeswari,2026,2026 Second International Conference on Multi-Agent Systems for Collaborative Intelligence (ICMSCI),10.1109/icmsci67830.2026.11469669,,,crossref,0.2667,published_conference_version,metadata_only,,
Agent-Testing Agent: A Meta-Agent for Automated Testing and Evaluation of Conversational AI Agents,Sameer Komoravolu; Khalil Mrini,2026,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.eacl-long.339,,,crossref,0.2667,published_conference_version,metadata_only,,
Multi-Agent LLM-Based Metamorphic Testing for REST APIs,Shehroz Khan; Abdullah Mughees; Gaadha Sudheerbabu; Tanwir Ahmad; Dragos Truscan,2026,"2026 IEEE 50th Annual Computers, Software, and Applications Conference (COMPSAC)",10.1109/compsac69091.2026.00043,,,crossref,0.2667,published_conference_version,metadata_only,,
Evaluation Drift in LLM Personality Induction: Are We Moving the Goalpost?,Prateek Kumar Rajput; Yewei Song; Iyiola Emmanuel Olatunji; Jacques Klein; Tegawendé Bissyande,2026,Proceedings of the Language Resources and Evaluation Conference,10.63317/4zdw5tmzx58h,,,crossref,0.2667,published_conference_version,metadata_only,,
Behavioral Regression Testing for Continuously Updated Machine Learning Models,Vinil Pasupuleti; Srinivasateja Songa; Nagesh Gulkotwar; Shyalendar Reddy Allala; Shrey Tyagi,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00030,,,crossref,0.2667,published_conference_version,metadata_only,,
PhD Forum: Talk to Your Agent: LLM-Based Trajectory Grounding and Behavioral Correction in RL,Gaetano Pio Pispisa,2026,2026 IEEE International Conference on Smart Computing Workshops and Other Affiliated events (SmartComp Companion),10.1109/smartcomp-companion70724.2026.00092,,,crossref,0.2667,published_conference_version,metadata_only,,
LLM-Based Agent Simulation Data Product for Counterfactual Evaluation of Hotel Dynamic Pricing,Mohammadali Majidi; Jian Yang; Amin Beheshti,2026,2026 IEEE International Conference on Web Services (ICWS),10.1109/icws72778.2026.00170,,,crossref,0.2667,published_conference_version,metadata_only,,
Counterfactual Fairness Evaluation of LLM-Based Contact Center Agent Quality Assurance System,Kawin Mayilvaghanan; Siddhant Gupta; Ayush Kumar,2026,Findings of the Association for Computational Linguistics: ACL 2026,10.18653/v1/2026.findings-acl.1890,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
LLM-Agent Assisted Black-Box Detection of IDOR/BOLA via Multi-Role Differential Validation,Xiaoyun Lu; Yanyu Lian; Xiaoya Lu; Yuemei Gao,2026,2026 10th International Conference on Electronic Information Technology and Computer Engineering (EITCE),10.1109/eitce70137.2026.11634569,,,crossref,0.2667,published_conference_version,metadata_only,,
Multi-Agent-as-Judge: Aligning LLM-Agent-Based Automated Evaluation with Multi-Dimensional Human Evaluation,Jiaju Chen; Yuxuan Lu; Xiaojie Wang; Huimin Zeng; Jing Huang; Jiri Gesi; Ying Xu; Bingsheng Yao; Dakuo Wang,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2026.acl-long.790,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
Automated Black-Box Testing: A Comparative Study of LLM Agent Architectures and Prompt Engineering,Anna Arnaudo; Riccardo Coppola; Flavio Giobergia; Maurizio Morisio; Van-Thanh Nguyen; Enrico Chen; Xiaoning Ma; XiaoQuan Ji; Minh-Thai Mai,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/icstw72326.2026.00018,,,crossref,0.2667,published_conference_version,metadata_only,,
Behavioral Transfer via Automated Prompt Optimization and LLM-as-a-Judge Evaluation Loops for Prompt-Based Knowledge Distillation,Vincent Koc,2026,2026 Systems and Information Engineering Design Symposium (SIEDS),10.1109/sieds69358.2026.11540303,,,crossref,0.2667,published_conference_version,metadata_only,,
DialogGuard: Multi-Agent Psychosocial Safety Evaluation Interface of Sensitive LLM Responses,Han Luo; Guy Laban,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 3: System Demonstrations),10.18653/v1/2026.acl-demo.19,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
Automatic evaluation method of software engineering training results driven by multi-LLM agent cooperation,Chenzi Li; Yajin Zhong,2026,"International Conference on Advanced Manufacturing, Automation, and Deep Learning (AMADL 2026)",10.1117/12.3123035,,,crossref,0.2667,published_conference_version,metadata_only,,
From Tasks to Teams: A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Finance,Zichen Chen; Jianda Chen; Jiaao Chen; Misha Sra,2026,Findings of the Association for Computational Linguistics: ACL 2026,10.18653/v1/2026.findings-acl.1934,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
PROTEA: Offline Evaluation and Iterative Refinement for Multi-Agent LLM Workflows,Kazuki Kawamura; Satoshi Waki; Kei Tateno,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 3: System Demonstrations),10.18653/v1/2026.acl-demo.3,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
When Prompts Fail to Differentiate: Understanding Discriminative Power in LLM Agent Evaluation,Zizhao Chen; W. Eric Wong; Chih-Wei Hsu; George Dai,2026,"2026 12th International Symposium on System Security, Safety, and Reliability (ISSSR)",10.1109/isssr69973.2026.00023,,,crossref,0.2667,published_conference_version,metadata_only,,
A Catalogue of Evaluation Metrics for LLM-Based Multi-Agent Frameworks in Software Engineering,Ingrid Lima; Vitor Linhares; Anderson Martins Gomes; Paulo Henrique Maia,2026,Proceedings of the 2026 International Workshop on Agentic Engineering,10.1145/3786167.3788430,,,crossref,0.2667,published_conference_version,metadata_only,,
"Autonomous Research Loops: An LLM-Agent Framework for End-to-End ML Experimentation, Manuscripting, and Self-Evaluation",Alicem Koyun,2026,Proceedings of the 2026 3rd International Conference on Informatics Education and Computer Technology Applications,10.1145/3802133.3802134,,,crossref,0.2667,published_conference_version,metadata_only,,
A Differential Fuzzing-Based Evaluation of Functional Equivalence in LLM-Generated Code Refactorings,Simantika Bhattacharjee Dristi; Matthew B. Dwyer,2026,Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3806717,,,crossref,0.2667,published_conference_version,metadata_only,,
An LLM-Driven Agent-Based Framework for Cross-Regional Construction Policy Evaluation in the Greater Bay Area,Wentao Zhu; Xiao Li; Juan Wang; Mingtian Xiong,2026,Computing in Construction,10.35490/ec3.2026.372,,,crossref,0.2667,published_conference_version,metadata_only,,
Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,Stevan Tomic; Emil Alégroth; Maycel Isaac,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989038,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
LLM-as-an-Interviewer: Beyond Static Testing Through Dynamic LLM Evaluation,Eunsu Kim; Juyoung Suk; Seungone Kim; Niklas Muennighoff; Dongkwan Kim; Alice Oh,2025,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.1357,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
RustAssure: Differential Symbolic Testing for LLM-Transpiled C-to-Rust Code,Yubo Bai; Tapti Palit,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ase63991.2025.00051,,,crossref,0.2667,published_conference_version,metadata_only,,
Specification and Evaluation of Multi-Agent LLM Systems - Prototype and Cybersecurity Applications,Felix Härer,2025,2025 International Conference on Cybersecurity and AI-Based Systems (Cyber-AI),10.1109/cyber-ai66431.2025.11233474,,,crossref,0.2667,published_conference_version,metadata_only,,
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),10.1109/icse55347.2025.00179,,,crossref,0.2667,published_conference_version,metadata_only,,
LLM-Based Dynamic Multi-Agent Systems for Evaluation of Financial Trading Mechanism,Edward Yu-Cheng Cheng; Hsueh-Ting Chu,2025,2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),10.1109/icce-taiwan66881.2025.11207858,,,crossref,0.2667,published_conference_version,metadata_only,,
LLM-based Dynamic Differential Testing for Database Connectors with Reinforcement Learning-Guided Prompt Selection,Ce Lyu; Yanhao Wang; Jie Liang; Minghao Zhao,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ase63991.2025.00322,,,crossref,0.2667,published_conference_version,metadata_only,,
LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,Shiyao Zhou; Jincheng Wang; He Ye; Hao Zhou; Claire Le Goues; Xiapu Luo,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),10.1109/icse55347.2025.00233,,,crossref,0.2667,published_conference_version,metadata_only,,
CFA-Bench: Cybersecurity Forensic Llm Agent Benchmark and Testing,Francesco De Santis; Kai Huang; Rodolfo Valentim; Danilo Giordano; Marco Mellia; Zied Ben Houidi; Dario Rossi,2025,2025 IEEE European Symposium on Security and Privacy Workshops (EuroS&amp;amp;PW),10.1109/eurospw67616.2025.00031,,,crossref,0.2667,published_conference_version,metadata_only,,
InGen: An LLM-Agent Based Approach for Automatically Generating Evaluation Indicator System for Avionics,Ruiming Chai; Lisong Wang; Ruiqi Fan; Shaohan Liu,2025,2025 4th International Symposium on Aerospace Engineering and Systems (ISAES),10.1109/isaes66870.2025.11274390,,,crossref,0.2667,published_conference_version,metadata_only,,
A Differential Testing Pipeline for Validating Lambda Expression Handling in Java Compilers Through LLM-Generated Test Cases,Douglas Kosvoski; Andrei Braga; Rodrigo Ribeiro; Samuel Feitosa,2025,Anais da IX Escola Regional de Engenharia de Software (ERES 2025),10.5753/eres.2025.16803,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
Comparative Evaluation of Fragmentation and Encoding Strategies in a Web Agent Integrating RAG and Local LLM,Yeison Javier Muñoz Gomez; Fabian Armando Hoyos Cerón; Juan José Caiza Narvaez,2025,2025 IEEE Colombian Caribbean Conference (C3),10.1109/c366505.2025.11340287,,,crossref,0.2667,published_conference_version,metadata_only,,
Beyond Static GUI Agent: Evolving LLM-based GUI Testing via Dynamic Memory,Mengzhuo Chen; Zhe Liu; Chunyang Chen; Junjie Wang; Yangguang Xue; Boyu Wu; Yuekai Huang; Libin Wu; Qing Wang,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ase63991.2025.00135,,,crossref,0.2667,published_conference_version,metadata_only,,
"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",Md Hasan Saju; Maher Muhtadi; Akramul Azim,2025,2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),10.1109/cascon66301.2025.00045,,,crossref,0.2667,published_conference_version,metadata_only,,
"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Accuracy, Reliability, and Latency",Nazmus Ashrafi; Salah Bouktif; Mohammed Mediani,2025,2025 IEEE 19th International Conference on Application of Information and Communication Technologies (AICT),10.1109/aict67988.2025.11268754,,,crossref,0.2667,published_conference_version,metadata_only,,
Methodology for Quality Assurance Testing of LLM-based Multi-Agent Systems,Isha Shamim; Rekha Singhal,2024,Proceedings of the 4th International Conference on AI-ML Systems,10.1145/3703412.3703439,,,crossref,0.2667,published_conference_version,metadata_only,,
CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,Zishan Guo; Yufei Huang; Deyi Xiong,2024,Findings of the Association for Computational Linguistics ACL 2024,10.18653/v1/2024.findings-acl.928,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
(Why) Is My Prompt Getting Worse? Rethinking Regression Testing for Evolving LLM APIs,Wanqin Ma; Chenyang Yang; Christian Kästner,2024,Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,10.1145/3644815.3644950,,,crossref,0.2667,published_conference_version,metadata_only,,
Evaluation and strategy of community belonging based on Multi-agent LLM: A case study of the long-term rental apartments in Beijing,Xuanmin Dong; Yu Du,2024,Proceedings of the 60th ISOCARP World Planning Congress,10.47472/wuf8wyey,,,crossref,0.2667,published_conference_version,metadata_only,,
RETAIN: Interactive Tool for Regression Testing Guided LLM Migration,Tanay Dixit; Daniel Lee; Sally Fang; Sai Sree Harsha; Anirudh Sureshan; Akash V Maharaj; Yunyao Li,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,10.18653/v1/2024.emnlp-demo.31,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
A Clinical Quality-Assurance Panel for Patient-Facing Black-Box Large Language Models in Healthcare: Anchored Forced-Choice Drift Monitoring for Sensitive Communication,Yuusuke Harada,2026,Cureus,10.7759/cureus.108195,,,semantic_scholar,0.2444,published_conference_version,open_pdf_found,,
Strategic Complexity and Behavioral Distortion: Retail Investing Under Large Language Model Augmentation,Dmitrii Gimmelberg; I. Ludviga,2025,International Journal of Financial Studies,10.3390/ijfs13040210,,,openalex; semantic_scholar; unpaywall,0.2,published_conference_version,open_pdf_found,,
"The Governance of Human-LLM Interaction: Safety Gating, Civility Steering, and Affective Default Lock-In",Manuele Reani; Hong-Jian Zhang; Hongyu Tian,2026,arXiv.org,10.48550/arxiv.2606.08172,2606.08172,,semantic_scholar,0.2,published_with_preprint,abstract_only,,unpaywall: HTTP Error 404: Not Found
OBsmith: LLM-Powered JavaScript Obfuscator Testing,Shan Jiang; Chenguang Zhu; Sarfraz Khurshid,2026,Proceedings of the ACM on Programming Languages,10.1145/3798204,,,openalex,0.1778,published_conference_version,metadata_only,,
RippleGUItester: Change-Aware Exploratory Testing,Yanqi Su; Michael Pradel; Chunyang Chen,2026,arXiv.org,10.48550/arxiv.2603.03121,2603.03121,,semantic_scholar,0.1778,published_with_preprint,abstract_only,,unpaywall: HTTP Error 404: Not Found
Beyond Bypass: Measuring Vulnerability Regression in LLM-Generated Security Patches,Yasmeen Rawajfih; Adiba Mahmud; Ross Arnold,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00029,,,crossref,0.1778,published_conference_version,metadata_only,,
Agent-as-a-Graph: Knowledge Graph-Based Tool and Agent Retrieval for LLM Multi-Agent Systems,Faheem Nizar; Elias Lumer; Anmol Gulati; Pradeep Basavaraju; Vamse Subbiah,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014473600004052,,,crossref,0.1778,published_conference_version,metadata_only,,
ChulaNLP at SemEval-2026 Task 5: Regression-Calibrated LLM for Word-Sense Scoring,Wayu Limsuwan; Attapol Rutherford,2026,Proceedings of the 20th International Workshop on Semantic Evaluation (2026),10.18653/v1/2026.semeval-1.343,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
Benchmarking Multi-Agent LLM and Single Agent LLM Efficiency for Contextual Text Generation,K. Arora; A. Naim; S. Sharma,2026,"2026 International Conference on Intelligent Systems in Engineering, Secured Systems and Cybersecurity (ICISESSC)",10.1109/icisessc68634.2026.11542788,,,crossref,0.1778,published_conference_version,metadata_only,,
CodeQual-Agent: An Intelligent LLM-Agent Framework for Automated Software Quality Assessment with Explainable Predictions and Real-Time Analysis,Faisal Mohammad; Junaid K. Kakar; D. R. Bekale Be Ndong; Mot Chas; Duksan Ryu,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/icstw72326.2026.00035,,,crossref,0.1778,published_conference_version,metadata_only,,
VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,Muhammad Mudassar Yamin,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00022,,,crossref,0.1778,published_conference_version,metadata_only,,
Sura.ai: Multi-Agent Infrastructure Recovery with LLM-Powered Autonomous Remediation,Ananya Arvind; Shruthi Narayanan; Saishriya Narayanan,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014456800004052,,,crossref,0.1778,published_conference_version,metadata_only,,
Early-Token Confidence Predicts Reasoning Quality in Multi-Agent LLM Debate,Ali Keramati; Justin Cheok; Jacob Horne; Mark Warschauer,2026,"Proceedings of the Fifth Workshop on Generation, Evaluation and Metrics (GEM)",10.18653/v1/2026.gem-main.60,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
LLM-Driven Multi-Agent Surrogate Modeling for Integrated Circuit Design,Mónika Grezer; Andrei-Alexandru Bunea; Cosmin Bănică; Marina Ţopa; Valentina Davidoiu; Andi Buzo; Georg Pelz,2026,"2026 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",10.1109/aqtr70159.2026.11578025,,,crossref,0.1778,published_conference_version,metadata_only,,
Observability and Fault Injection for LLM-Based Multi-Agent Systems in Software Engineering,Zahra Seyedghorban; Egor Klimov; Arie van Deursen; Annibale Panichella; Burcu Kulahcioglu Ozkan,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00037,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
Tool-Augmented Disambiguation LLM Agent Utilizing UMLS for Biomedical Entity Linking,Luka Blašković; Nikola Tanković; Ivo Ipšić,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014355600004052,,,crossref,0.1778,published_conference_version,metadata_only,,
Bridging MDE and LLM-Based Agent Frameworks for Multi-Agent Systems: A Quasi-Systematic Review and Metamodel,James Miranda; Ansgar Radermacher; Fabien Baligand; Julie Bonnail; Sebastien Gérard; Pascal Bannerot; Marcos Fabro,2026,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering,10.5220/0014236700004058,,,crossref,0.1778,published_conference_version,metadata_only,,
"Multi-Agent Tool Sharing: Task Allocation, Concurrent Access Coordination, and Consistency Guarantees in Collaborative LLM Agent Systems",Yang Xiang,2026,2026 International Conference on Large Models and Intelligent Agent Technologies (LMIAT),10.1109/lmiat70705.2026.11682229,,,crossref,0.1778,published_conference_version,metadata_only,,
LLM-Based Automatic Metamorphic Test Case Generation for LLM Fairness Testing,Francisca Isabella Manope; Adam Rafif Faqih; Daffa Hilmy Fadhlurrohman; Jati H. Husen; Rosa Reska Riskiana,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00012,,,crossref,0.1778,published_conference_version,metadata_only,,
Sabancigroup4 at SemEval-2026 Task 5: Uncertainty-Aware Semantic Plausibility Scoring via GNLL Regression and LLM Rationales,Salih Büyükbaş; Doruk Benli; Osman Kara; Dilara Keküllüoğlu,2026,Proceedings of the 20th International Workshop on Semantic Evaluation (2026),10.18653/v1/2026.semeval-1.144,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
EduBot-LLM: An LLM-Driven Educational Robot Agent with Unified Dialogue and Action Planning,Gaojian Liu; Ngai Cheong,2026,2026 10th International Conference on Electronic Information Technology and Computer Engineering (EITCE),10.1109/eitce70137.2026.11634532,,,crossref,0.1778,published_conference_version,metadata_only,,
K-NLPers at SemEval-2026 Task 7: Multiple LLM Agent Debate System for Everyday Knowledge Across Diverse Languages and Cultures,Jiwoo Song; Sihyeong Yeom; Harksoo Kim,2026,Proceedings of the 20th International Workshop on Semantic Evaluation (2026),10.18653/v1/2026.semeval-1.410,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
NOMAD: A Multi-Agent LLM System for UML Class Diagram Generation from Natural Language Requirements,Polydoros Giannouris; Sophia Ananiadou,2026,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering,10.5220/0014301900004058,,,crossref,0.1778,published_conference_version,metadata_only,,
Multi-Agent LLM Closed-Loop Optimization for NP-Hard Problems,Kiran Nair; Bikash Chandra Singh,2026,SoutheastCon 2026,10.1109/southeastcon63549.2026.11476226,,,crossref,0.1778,published_conference_version,metadata_only,,
A Multi-Agent LLM Framework with RAG for Shipbuilding Engineering Documents,Boris Galvan; George Drakoulas; Bram Cals; Tayfun Kucukyilmaz; Matthijs Schakel; Dina Semchenko; Juri Kuzjatkin; Gil Cabral,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014240600004052,,,crossref,0.1778,published_conference_version,metadata_only,,
NeuroSync-Agent: A Real-Time Multimodal Fusion and LLM Reasoning Framework for Cognitive-State Inference,Basma Jalloul; Bassem Bouaziz; Siwar Chaabene; Walid Mahdi,2026,Proceedings of the 18th International Conference on Agents and Artificial Intelligence,10.5220/0014456500004052,,,crossref,0.1778,published_conference_version,metadata_only,,
Authenticated and Offline-Verifiable Agent-to-Agent Messaging for LLM Agents,Adil Alshammari; Sareh Assiri; Hayretdin Bahsi,2026,2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC),10.1109/ccwc67433.2026.11393740,,,crossref,0.1778,published_conference_version,metadata_only,,
LLM-FK: Multi-Agent LLM Reasoning for Foreign Key Detection in Large-Scale Complex Databases,Zijian Tang; Ying Zhang; Sibo Cai; Ruoxuan Wang,2026,Findings of the Association for Computational Linguistics: ACL 2026,10.18653/v1/2026.findings-acl.1660,,,crossref,0.1778,published_conference_version,metadata_only,,
A Dynamic Evaluation Approach to Repository-Level Code Generation Via LLM,Fuze Kuang; Dongmei Liu; Yongli Wang; Honghua Huan; Mingzhe Zhao; Longyang Mi; XiaoHong Zheng,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00019,,,crossref,0.1778,published_conference_version,metadata_only,,
AutoQABench: A Three-Level UX Benchmark for Automated Evaluation of Open-Ended LLM Responses,Tianyue Wang; Fei Yuan; ChiaJu Miao; Muralidharan Seshadri Kaniyanoor; Kazuo Matsumoto,2026,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),10.1109/aitest70988.2026.00011,,,crossref,0.1778,published_conference_version,metadata_only,,
GI-Agent Search-Based LLM Agent for Code Optimization with Genetic Improvement,Donghyun Lee; William B. Langdon; Justyna Petke,2026,Proceedings of the 14th International Workshop on Genetic Improvement,10.1145/3786162.3793232,,,crossref,0.1778,published_conference_version,metadata_only,,
QoS-Aware Brokering for LLM-as-a-Service: SLA-Constrained Routing with Drift Detection,Okba Tibermacine; Chouki Tibermacine,2026,2026 IEEE International Conference on Web Services (ICWS),10.1109/icws72778.2026.00112,,,crossref,0.1778,published_conference_version,metadata_only,,
ASIC-Agent: An Autonomous Multi-Agent System for ASIC Design with Benchmark Evaluation,Ahmed Allam; Youssef Mansour; Mohamed Shalan,2025,2025 IEEE International Conference on LLM-Aided Design (ICLAD),10.1109/iclad65226.2025.00033,,,crossref; unpaywall,0.1778,published_conference_version,open_pdf_found,,
Spec2RTL-Agent: Automated Hardware Code Generation from Complex Specifications Using LLM Agent Systems,Zhongzhi Yu; Mingjie Liu; Michael Zimmer; Yingyan Celine; Yong Liu; Haoxing Ren,2025,2025 IEEE International Conference on LLM-Aided Design (ICLAD),10.1109/iclad65226.2025.00013,,,crossref,0.1778,published_conference_version,metadata_only,,
TRIZ Agents: A Multi-Agent LLM Approach for TRIZ-Based Innovation,Kamil Szczepanik; Jarosław Chudziak,2025,Proceedings of the 17th International Conference on Agents and Artificial Intelligence,10.5220/0013321900003890,,,crossref,0.1778,published_conference_version,metadata_only,,
Get My Drift? Catching LLM Task Drift with Activation Deltas,Sahar Abdelnabi; Aideen Fay; Giovanni Cherubin; Ahmed Salem; Mario Fritz; Andrew Paverd,2025,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),10.1109/satml64287.2025.00011,,,crossref,0.1778,published_conference_version,metadata_only,,
LLM-Based Evaluation of Utterances with Implicature Understanding,Ayu Iida; Kohei Okuoka; Takashi Omori; Ryoichi Nakashima; Masahiko Osawa,2025,Proceedings of the 13th International Conference on Human-Agent Interaction,10.1145/3765766.3765841,,,crossref,0.1778,published_conference_version,metadata_only,,
