title,authors,year,doi,arxiv_id,source,screening_stage,decision,reason,version_relationship,evidence_level,screened_date
"GAIA: A Benchmark for General AI Assistants","Mialon et al.","2024","","2311.12983","arXiv; OpenReview","full text","include","Core general-assistant benchmark requiring tools, browsing and multimodality.","arXiv and ICLR 2024 are one work; cite formal version.","已阅读全文","2026-07-23"
"Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models","Yi et al.","2025","10.1145/3690624.3709179","2312.14197","arXiv; ACM","title/abstract","include","Important indirect-prompt-injection benchmark feeding the agent-security lineage.","2023 preprint and KDD 2025 formal version are one work.","仅阅读摘要","2026-07-23"
"AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents","Ma et al.","2024","10.52202/079017-2365","2401.13178","arXiv; NeurIPS","full text","include","Core progress-aware, trajectory-diagnostic agent evaluation board.","arXiv and NeurIPS 2024 are one work; cite formal version.","已阅读全文","2026-07-23"
"VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks","Koh et al.","2024","10.18653/v1/2024.acl-long.50","2401.13649","arXiv; ACL Anthology","full text","include","Core multimodal Web-agent benchmark with realistic visual grounding.","arXiv and ACL 2024 are one work; cite formal version.","已阅读全文","2026-07-23"
"InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents","Zhan et al.","2024","10.18653/v1/2024.findings-acl.624","2403.02691","arXiv; ACL Anthology","full text","include","Direct, tool-integrated agent prompt-injection benchmark.","arXiv and Findings of ACL 2024 are one work.","已阅读全文","2026-07-23"
"StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning of Large Language Models","Guo et al.","2024","10.18653/v1/2024.findings-acl.664","2403.07714","arXiv; ACL Anthology","title/abstract","include","Addresses API instability and longitudinal reproducibility in tool testing.","arXiv and Findings of ACL 2024 are one work.","仅阅读摘要","2026-07-23"
"OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments","Xie et al.","2024","10.52202/079017-1650","2404.07972","arXiv; NeurIPS","full text","include","Core real-computer benchmark with VM execution and perturbation evidence.","arXiv and NeurIPS 2024 are one work.","已阅读全文","2026-07-23"
"Testing and Understanding Erroneous Planning in LLM Agents through Synthesized User Inputs","Ji et al.","2024","","2404.17833","arXiv","full text","include","Direct automatic test synthesis and constraint-based planning oracle.","No formal version verified.","已阅读全文","2026-07-23"
"AndroidWorld: A Dynamic Benchmarking Environment for Autonomous Agents","Rawles et al.","2025","","2405.14573","arXiv; OpenReview","title/abstract","include","Dynamic, reproducible mobile-agent environment extends GUI coverage.","2024 preprint and ICLR 2025 formal version are one work.","仅阅读摘要","2026-07-23"
"τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains","Yao et al.","2025","","2406.12045","arXiv; OpenReview","full text","include","Core stateful tool/user benchmark and repeated-reliability metric.","2024 preprint and ICLR 2025 formal version are one work.","已阅读全文","2026-07-23"
"AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents","Debenedetti et al.","2024","10.52202/079017-2636","2406.13352","arXiv; NeurIPS","full text","include","Core dynamic indirect-injection benchmark with deterministic utility/security oracles.","arXiv and NeurIPS 2024 are one work.","已阅读全文","2026-07-23"
"AI Agents That Matter","Kapoor et al.","2025","","2407.01502","arXiv; TMLR","full text","include","Essential meta-evaluation evidence on cost, uncertainty, baselines and contamination.","2024 preprint and TMLR 2025 formal article are one work.","已阅读全文","2026-07-23"
"WorkArena++: Towards Compositional Planning and Reasoning-based Common Knowledge Work Tasks","Boisvert et al.","2024","","2407.05291","arXiv; NeurIPS","title/abstract","include","Enterprise workflow benchmark with compositional planning tasks.","ArXiv and NeurIPS 2024 are one work; predecessor WorkArena is not duplicated.","仅阅读摘要","2026-07-23"
"AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","Chen et al.","2024","10.52202/079017-4136","2407.12784","arXiv; NeurIPS","title/abstract","include","Directly covers memory and knowledge-base poisoning.","arXiv and NeurIPS 2024 are one work.","仅阅读摘要","2026-07-23"
"AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents","Trivedi et al.","2024","10.18653/v1/2024.acl-long.850","2407.18901","arXiv; ACL Anthology","full text","include","Strong executable state-difference oracle for interactive coding/tool agents.","arXiv and ACL 2024 are one work.","已阅读全文","2026-07-23"
"BadRobot: Jailbreaking Embodied LLM Agents in the Physical World","Zhang et al.","2025","","2407.20242","arXiv; ICLR proceedings","full text","include","Direct physical-action safety and language/action inconsistency evidence.","2024 preprint was revised; ICLR 2025 formal version preferred.","已阅读全文","2026-07-23"
"Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification","Zhang et al.","2025","10.18653/v1/2025.emnlp-main.1771","2407.20859","arXiv; ACL Anthology","title/abstract","include","Connects ordinary malfunction patterns with adversarial compromise.","2024 preprint and EMNLP 2025 formal version are one work.","仅阅读摘要","2026-07-23"
"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities","Lu et al.","2025","10.18653/v1/2025.findings-naacl.65","2408.04682","arXiv; ACL Anthology","full text","include","Core stateful tool benchmark with flexible trajectory oracle and schema perturbations.","2024 preprint and Findings of NAACL 2025 are one work; formal author metadata preferred.","已阅读全文","2026-07-23"
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","Zhang et al.","2025","","2410.02644","arXiv; OpenReview","title/abstract","include","Broad attack/defense taxonomy and benchmark for agent security.","2024 preprint and ICLR 2025 formal version are one work.","仅阅读摘要","2026-07-23"
"AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents","Andriushchenko et al.","2025","","2410.09024","arXiv; OpenReview","full text","include","Core multi-step harmful tool-action and jailbreak benchmark.","2024 preprint and ICLR 2025 formal version are one work; formal 12-author metadata preferred.","已阅读全文","2026-07-23"
"Agent-as-a-Judge: Evaluate Agents with Agents","Zhuge et al.","2025","","2410.10934","arXiv; PMLR","full text","include","Direct process-aware agent evaluator with artifact inspection.","2024 preprint and ICML 2025 formal version are one work.","已阅读全文","2026-07-23"
"AgentOps: Enabling Observability of LLM Agents","Dong et al.","2024","","2411.05285","arXiv","full text","include","Direct taxonomy of agent-specific traces/spans and tool capabilities.","No formal version verified.","已阅读全文","2026-07-23"
"The BrowserGym Ecosystem for Web Agent Research","Le Sellier de Chezelles et al.","2025","","2412.05467","arXiv; TMLR/OpenReview","full text","include","Standardized harness reduces cross-benchmark implementation confounds.","2024 preprint and TMLR 2025 formal article are one work; formal author order preferred.","已阅读全文","2026-07-23"
"SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents","Yin et al.","2024","","2412.13178","arXiv","full text","include","Direct safe-planning benchmark for embodied agents.","Current evidence is the 2024 preprint; ICLR 2026 under-review page is not a formal publication.","已阅读全文","2026-07-23"
"Agent-SafetyBench: Evaluating the Safety of LLM Agents","Zhang et al.","2024","","2412.14470","arXiv","full text","include","Broad behavior-level agent safety benchmark and failure taxonomy.","Current identity is 2024 arXiv; later workshop listing not treated as a main-conference version.","已阅读全文","2026-07-23"
"Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents","Zhan et al.","2025","10.18653/v1/2025.findings-naacl.395","2503.00061","arXiv; ACL Anthology","title/abstract","include","Shows why defenses must be tested against defense-aware adaptive attacks.","arXiv and Findings of NAACL 2025 are one work.","仅阅读摘要","2026-07-23"
"MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents","Zhu et al.","2025","10.18653/v1/2025.acl-long.421","2503.01935","arXiv; ACL Anthology","full text","include","Core collaboration/competition benchmark with process milestones and topology ablations.","arXiv and ACL 2025 are one work; formal Xiangru Tang metadata preferred.","已阅读全文","2026-07-23"
"Why Do Multi-Agent LLM Systems Fail?","Cemri et al.","2025","","2503.13657","arXiv; NeurIPS","title/abstract","include","Direct failure taxonomy and propagation analysis for LLM multi-agent systems.","arXiv and NeurIPS 2025 formal record are one work.","仅阅读摘要","2026-07-23"
"AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents","Wang et al.","2026","","2503.18666","arXiv; ICSE official schedule","title/abstract","include","Direct runtime policy checking and action blocking fills enforcement gap.","ICSE 2026 acceptance verified; DOI not yet verified, so omitted.","仅阅读摘要","2026-07-23"
"AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories","Lù et al.","2025","","2504.08942","arXiv; OpenReview","full text","include","Direct meta-evaluation of rules and LLM judges on expert-labeled trajectories.","arXiv and COLM 2025 formal version are one work.","已阅读全文","2026-07-23"
"WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?","Drouin et al.","2024","","2403.07718","arXiv; OpenReview","title/abstract","exclude","Predecessor retained as lineage only; WorkArena++ and BrowserGym provide broader, later coverage.","Not a duplicate version, but excluded from counted corpus to avoid overweighting one environment.","仅阅读摘要","2026-07-23"
"ToolBench","not applicable","","","","secondary mention","identity/de-duplication","exclude","ToolBench is the benchmark introduced/evaluated within ToolLLM, not a separate paper record.","Same research object as ToolLLM paper for counting purposes.","仅核验元数据","2026-07-23"
"SWE-bench Verified","not applicable","","","","dataset release","identity/de-duplication","exclude","Curated benchmark subset/resource, not an independent paper in this review.","Related to SWE-bench but not counted as a separate publication.","仅核验元数据","2026-07-23"
"Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena","Zheng et al.","2023","","2306.05685","arXiv; NeurIPS","title/abstract","exclude","Important generic judge background but not agent-specific; used only as secondary methodological context.","No agent-specific version relation.","仅阅读摘要","2026-07-23"
"Large Language Models are not Fair Evaluators","Wang et al.","2024","10.18653/v1/2024.acl-long.511","2305.17926","arXiv; ACL Anthology","title/abstract","exclude","Generic LLM evaluation bias paper; outside core agent-testing corpus.","No agent-specific version relation.","仅阅读摘要","2026-07-23"
"G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment","Liu et al.","2023","10.18653/v1/2023.emnlp-main.153","","ACL Anthology","title/abstract","exclude","General generation evaluator; agent-specific conclusions require other evidence.","No agent-specific version relation.","仅阅读摘要","2026-07-23"
"ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages","Ye et al.","2024","10.18653/v1/2024.acl-long.119","2402.10753","arXiv; ACL Anthology","title/abstract","exclude","Relevant but lower priority after ToolEmu, AgentDojo, AgentHarm and Agent-SafetyBench supplied fuller agent-level safety coverage.","Independent work; not a duplicate.","仅阅读摘要","2026-07-23"
"RoTBench: A Multi-Level Benchmark for Evaluating the Robustness of Large Language Models in Tool Learning","Ye et al.","2024","10.18653/v1/2024.emnlp-main.19","2401.08326","arXiv; ACL Anthology","title/abstract","exclude","Relevant tool robustness benchmark, but lower priority than stateful and trajectory-level core set.","Independent work; not a duplicate.","仅阅读摘要","2026-07-23"
"AgentDebug: Where LLM Agents Fail and How They Can Learn From Failures","Zhu et al.","2025","","2509.25370","arXiv; OpenReview","title/abstract","exclude","Promising error taxonomy, but the ICLR 2026 submission was withdrawn and only preprint evidence was available.","Do not label as an ICLR publication.","仅阅读摘要","2026-07-23"
"ReliabilityBench","Aayush Gupta","2026","","2601.06112","arXiv","title/abstract","exclude","Highly relevant new single-author preprint, but not prioritized over verified core evidence in this stage.","Independent early preprint; candidate for next update.","仅阅读摘要","2026-07-23"
"MAS-FIRE","Jia et al.","2026","","2602.19843","arXiv","title/abstract","exclude","New multi-agent fault-injection preprint; retained as follow-up lead but not used for formal conclusions.","Independent early preprint; candidate for next update.","仅阅读摘要","2026-07-23"
"VeriGrey: Greybox Agent Validation","Zhang et al.","2026","","2603.17639","arXiv","title/abstract","exclude","New grey-box agent-testing preprint; insufficient peer-reviewed evidence for current synthesis.","Independent early preprint; candidate for next update.","仅阅读摘要","2026-07-23"
"PrefixGuard","Huang et al.","2026","","2605.06455","arXiv","title/abstract","exclude","New runtime-warning preprint; retained as trend, not used for detailed claims.","Independent early preprint; candidate for next update.","仅阅读摘要","2026-07-23"
"Consistency as a Testable Property","Raj et al.","2026","","2605.10516","arXiv","title/abstract","exclude","New statistical consistency preprint; falls outside the fully verified stage corpus.","Independent early preprint; candidate for next update.","仅阅读摘要","2026-07-23"
"Towards Metamorphic Testing with LLM-based Workflows","unknown","","","","search discovery","title/abstract","exclude","The LLM agent/workflow generates tests for traditional software; the agent itself is not the system under test.","No duplicate relation.","仅核验元数据","2026-07-23"
"Multi-Agent LLM-based Metamorphic Testing for REST APIs","unknown","","","","search discovery","title/abstract","exclude","The tested object is a REST API, while agents are test generators; outside the defined research boundary.","No duplicate relation.","仅核验元数据","2026-07-23"
"Safety Testing LLM Agents at Scale: From Risk Discovery to Evidence-Grounded Verification","Yunhao Feng et al.","2026","","2607.01793","arXiv","title/abstract","watchlist","Highly direct 2026 agent-safety testing framework; retained for follow-up, not mixed into the core 40-paper synthesis until full text and version status are checked.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"VESTA: A Fully Automated Scenario Generation and Safety Evaluation Framework for LLM Agents","Lu Jia et al.","2026","","2606.08531","arXiv","title/abstract","watchlist","Automated safety-scenario generation and process-level evaluation; promising but abstract-only at this stage.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"ATBench: A Diverse and Realistic Agent Trajectory Benchmark for Safety Evaluation and Diagnosis","Yu Li et al.","2026","","2604.02022","arXiv","title/abstract","watchlist","Long-horizon trajectory safety benchmark with delayed triggers and human audit; needs full-text and external realism review.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"MemEvoBench: Benchmarking Memory MisEvolution in LLM Agents","Weiwei Xie et al.","2026","","2604.15774","arXiv","title/abstract","watchlist","Directly targets long-horizon memory contamination and behavioral drift, extending the AgentPoison line.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"TIDE: Trajectory-based Diagnostic Evaluation of Test-Time Improvement in LLM Agents","Hang Yan et al.","2026","","2602.02196","arXiv","title/abstract","watchlist","Provides AUV, Loop Ratio and Memory Index for diagnosing iterative agent improvement.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"ClawArena: Benchmarking AI Agents in Evolving Information Environments","Haonian Ji et al.","2026","","2604.04202","arXiv","title/abstract","watchlist","Tests conflict reasoning, belief revision and implicit personalization under dynamic information updates.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"NEXUS: Structured Runtime Safety for Tool-Using LLM Agents","Elias Hossain et al.","2026","","2607.19356","arXiv","title/abstract","watchlist","Runtime allow/block/confirm/revise/review monitor; synthetic benchmark and threat model require full-text audit.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"AgentTrust: Runtime Safety Evaluation and Interception for AI Agent Tool Use","Chenglin Yang","2026","","2605.04785","arXiv","title/abstract","watchlist","Runtime tool interception, shell deobfuscation, attack-chain detection and MCP support; patched-rule results must be separated from zero-shot results.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"Taxonomy and Consistency Analysis of Safety Benchmarks for AI Agents","Miles Q. Li et al.","2026","","2605.16282","arXiv","title/abstract","watchlist","Meta-evaluates agent-safety benchmarks and reports methodological inconsistency; needs full-text and dataset audit.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"The Cold-Start Safety Gap in LLM Agents","Chung-En Sun et al.","2026","","2606.07867","arXiv","title/abstract","watchlist","Studies safety as a function of preceding agentic tasks; potentially important deployment finding but vulnerable to context/task-selection confounds.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"Guardrails as Scapegoats: Auditing Unfaithful Safety Refusals in Tool-Augmented LLM Agents","Aarushi Singh","2026","","2607.19449","arXiv","title/abstract","watchlist","Tests silent tool payload failures and fabrication versus safety-refusal behavior.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"When Agents Disagree With Themselves: Behavioral Consistency as an Uncertainty Signal for LLM Agents","Aman Mehta","2026","","2602.11619","arXiv","title/abstract","watchlist","Uses repeated action-sequence disagreement as a black-box uncertainty and model-ranking signal.","2026 arXiv preprint; no formal version verified.","仅阅读摘要","2026-07-23"
"Agent-Testing Agent: A Meta-Agent for Automated Testing and Evaluation of Conversational AI Agents","Sameer Komoravolu; Khalil Mrini","2026","10.18653/v1/2026.eacl-long.339","","ACL Anthology; Crossref; OpenAlex; local PDF","full text","included","Direct automated adaptive testing method for agents.","Formal EACL 2026 version preferred.","已阅读全文","2026-08-13"
"SIRAJ: Diverse and Efficient Red-Teaming for LLM Agents via Distilled Structured Reasoning","Kaiwen Zhou; Ahmed Elgohary; A S M Iftekhar; Amin Saied","2026","10.18653/v1/2026.findings-eacl.171","","ACL Anthology; Crossref; OpenAlex; local PDF","full text","included","Direct adaptive red-teaming method for black-box agents.","Formal Findings EACL 2026 version preferred.","已阅读全文","2026-08-13"
"Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents","Zichuan Li; Jian Cui; Xiaojing Liao; Luyi Xing","2026","10.14722/ndss.2026.240577","","NDSS; Crossref; OpenAlex; local PDF","full text","included","Direct dynamic security scanning of multi-tool agent ecosystems.","Formal NDSS 2026 version.","已阅读全文","2026-08-13"
"VeriGrey: Greybox Agent Validation","Yuntong Zhang et al.","2026","","2603.17639","arXiv; local PDF","abstract","watchlist","Highly relevant greybox agent testing method; formal publication not verified.","arXiv v1.","仅阅读摘要","2026-08-13"
"FLARE: Agentic Coverage-Guided Fuzzing for LLM-Based Multi-Agent Systems","Mingxuan Hui et al.","2026","","2604.05289","arXiv","abstract/full-text page","watchlist","Direct coverage-guided MAS testing; awaiting formal publication and independent replication.","arXiv preprint.","仅阅读摘要","2026-08-13"
"LogicHunter: Testing LLM Agent Frameworks with an Agentic Oracle","Minghui Long; Yanjie Zhao; Haoyu Wang","2026","","2607.06195","arXiv","abstract/full-text page","watchlist","Direct testing of agent frameworks with specification-aware generation and active oracle.","arXiv preprint.","仅阅读摘要","2026-08-13"
"AgentLens: Production-Assessed Trajectory Reviews for Coding Agent Evaluation","Andrey Podivilov et al.","2026","","2607.06624","arXiv","abstract","watchlist","Relevant trajectory review and production regression benchmark.","arXiv preprint.","仅阅读摘要","2026-08-13"
"A Survey on Evaluation of LLM-based Agents","Asaf Yehudai et al.","2026","10.18653/v1/2026.findings-acl.1330","","ACL Anthology; Crossref","abstract/metadata","included","Recent peer-reviewed survey used to cross-check taxonomy and gaps.","Formal Findings ACL 2026 version.","仅阅读摘要","2026-08-13"
