title,authors,year,doi,arxiv_id,source,screening_stage,decision,reason,version_relationship,evidence_level,screened_date,review_tier
AgentTrust: Runtime Safety Evaluation and Interception for AI Agent Tool Use,Chenglin Yang,2026,,2605.04785,arXiv,title/abstract,watchlist,"Runtime tool interception, shell deobfuscation, attack-chain detection and MCP support; patched-rule results must be separated from zero-shot results.",2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
Taxonomy and Consistency Analysis of Safety Benchmarks for AI Agents,Miles Q. Li et al.,2026,,2605.16282,arXiv,title/abstract,watchlist,Meta-evaluates agent-safety benchmarks and reports methodological inconsistency; needs full-text and dataset audit.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
The Cold-Start Safety Gap in LLM Agents,Chung-En Sun et al.,2026,,2606.07867,arXiv,title/abstract,watchlist,Studies safety as a function of preceding agentic tasks; potentially important deployment finding but vulnerable to context/task-selection confounds.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
Guardrails as Scapegoats: Auditing Unfaithful Safety Refusals in Tool-Augmented LLM Agents,Aarushi Singh,2026,,2607.19449,arXiv,title/abstract,watchlist,Tests silent tool payload failures and fabrication versus safety-refusal behavior.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
When Agents Disagree With Themselves: Behavioral Consistency as an Uncertainty Signal for LLM Agents,Aman Mehta,2026,,2602.11619,arXiv,title/abstract,watchlist,Uses repeated action-sequence disagreement as a black-box uncertainty and model-ranking signal.,2026 arXiv preprint; no formal version verified.,仅阅读摘要,2026-07-23,background
Agent-Testing Agent: A Meta-Agent for Automated Testing and Evaluation of Conversational AI Agents,Sameer Komoravolu; Khalil Mrini,2026,10.18653/v1/2026.eacl-long.339,,ACL Anthology; Crossref; OpenAlex; local PDF,full text,included,Direct automated adaptive testing method for agents.,Formal EACL 2026 version preferred.,已阅读全文,2026-08-13,core-method
SIRAJ: Diverse and Efficient Red-Teaming for LLM Agents via Distilled Structured Reasoning,Kaiwen Zhou; Ahmed Elgohary; A S M Iftekhar; Amin Saied,2026,10.18653/v1/2026.findings-eacl.171,,ACL Anthology; Crossref; OpenAlex; local PDF,full text,included,Direct adaptive red-teaming method for black-box agents.,Formal Findings EACL 2026 version preferred.,已阅读全文,2026-08-13,core-method
Les Dissonances: Cross-Tool Harvesting and Polluting in Pool-of-Tools Empowered LLM Agents,Zichuan Li; Jian Cui; Xiaojing Liao; Luyi Xing,2026,10.14722/ndss.2026.240577,,NDSS; Crossref; OpenAlex; local PDF,full text,included,Direct dynamic security scanning of multi-tool agent ecosystems.,Formal NDSS 2026 version.,已阅读全文,2026-08-13,supporting-benchmark
FLARE: Agentic Coverage-Guided Fuzzing for LLM-Based Multi-Agent Systems,Mingxuan Hui et al.,2026,,2604.05289,arXiv,abstract/full-text page,watchlist,Direct coverage-guided MAS testing; awaiting formal publication and independent replication.,arXiv preprint.,仅阅读摘要,2026-08-13,core-method
LogicHunter: Testing LLM Agent Frameworks with an Agentic Oracle,Minghui Long; Yanjie Zhao; Haoyu Wang,2026,,2607.06195,arXiv,abstract/full-text page,watchlist,Direct testing of agent frameworks with specification-aware generation and active oracle.,arXiv preprint.,仅阅读摘要,2026-08-13,core-method
AgentLens: Production-Assessed Trajectory Reviews for Coding Agent Evaluation,Andrey Podivilov et al.,2026,,2607.06624,arXiv,abstract,watchlist,Relevant trajectory review and production regression benchmark.,arXiv preprint.,仅阅读摘要,2026-08-13,core-method
A Survey on Evaluation of LLM-based Agents,Asaf Yehudai et al.,2026,10.18653/v1/2026.findings-acl.1330,,ACL Anthology; Crossref,abstract/metadata,included,Recent peer-reviewed survey used to cross-check taxonomy and gaps.,Formal Findings ACL 2026 version.,仅阅读摘要,2026-08-13,background
Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents,Khanal et al.,2026,,2603.29231,arXiv; local PDF,full text,included,Direct long-horizon reliability method.,Preprint; no formal version verified.,已阅读全文,2026-08-13,core-method
Gaia2: Benchmarking LLM Agents on Dynamic and Asynchronous Environments,Froger et al.,2026,,2602.11964,ICLR; arXiv; local PDF,full text,included,High-quality dynamic asynchronous agent benchmark.,ICLR 2026 formal version preferred.,已阅读全文,2026-08-13,supporting-benchmark
Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,Hu et al.,2026,,2507.05257,ICLR; arXiv; local PDF,full text,included,Direct memory-agent benchmark with incremental protocol.,ICLR 2026 formal version preferred.,已阅读全文,2026-08-13,supporting-benchmark
LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Wu et al.,2025,,2410.10813,ICLR; arXiv; local PDF,full text,included,Foundational 2025 long-term memory benchmark.,ICLR 2025 formal version preferred.,已阅读全文,2026-08-13,background
Mem2ActBench: A Benchmark for Evaluating Long-Term Memory Utilization in Task-Oriented Autonomous Agents,Shen et al.,2026,10.18653/v1/2026.acl-long.370,2601.19935,ACL Anthology; local PDF,full text,included,Tests memory-to-tool-action grounding.,ACL 2026 formal version preferred.,已阅读全文,2026-08-13,supporting-benchmark
LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues,Wu et al.,2026,,2605.12493,arXiv; local PDF,full text,included,Extends memory evaluation to work trajectories.,Preprint; no formal version verified.,已阅读全文,2026-08-13,supporting-benchmark
Process Evaluation for Agentic Systems,Gritta et al.,2026,10.18653/v1/2026.findings-eacl.140,,ACL Anthology; local PDF,full text,included,Direct process-level evaluation method.,Formal Findings EACL 2026 version.,已阅读全文,2026-08-13,core-method
Collab-Overcooked: Benchmarking and Evaluating Large Language Models as Collaborative Agents,Sun et al.,2025,10.18653/v1/2025.emnlp-main.249,2502.20073,ACL Anthology; arXiv; local PDF,full text,included,Open process-oriented multi-agent benchmark.,EMNLP 2025 formal version preferred.,已阅读全文,2026-08-13,supporting-benchmark
LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,Agashe et al.,2025,10.18653/v1/2025.findings-naacl.448,,ACL Anthology; local PDF,full text,included,Decomposes multi-agent coordination abilities.,Formal Findings NAACL 2025 version.,已阅读全文,2026-08-13,supporting-benchmark
SILO-BENCH: A Scalable Environment for Evaluating Distributed Coordination in Multi-Agent LLM Systems,Zhang et al.,2026,10.18653/v1/2026.acl-long.1354,,ACL Anthology; local PDF,full text,included,Tests distributed coordination under information silos.,Formal ACL 2026 version.,已阅读全文,2026-08-13,supporting-benchmark
ETOM: A Five-Level Benchmark for Evaluating Tool Orchestration within the MCP Ecosystem,Dong et al.,2026,10.18653/v1/2026.findings-eacl.75,,ACL Anthology; local PDF,full text,included,Direct MCP orchestration benchmark with deterministic ground truth.,Formal Findings EACL 2026 version.,已阅读全文,2026-08-13,supporting-benchmark
MASEval: Extending Multi-Agent Evaluation from Models to Systems,Emde et al.,2026,10.18653/v1/2026.acl-demo.34,,ACL Anthology; local PDF,full text,included,Compares agent frameworks as systems.,Formal ACL 2026 system demo.,已阅读全文,2026-08-13,supporting-benchmark
Beyond Component Testing: Validating Agentic AI Systems,Authors on arXiv,2026,,2607.29405,arXiv,abstract,included,Broad validation survey directly matching system assurance scope.,Very recent preprint.,仅阅读摘要,2026-08-13,background
"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation",Ling et al.,2026,,2606.10749,arXiv; local PDF,full text,included,247-paper security SoK with evaluation-gap analysis.,Preprint; TOSEM version not verified.,已阅读全文,2026-08-13,background
Evaluation and Benchmarking of LLM Agents: A Survey,Mohammadi et al.,2025,10.1145/3711896.3736570,2507.21504,ACM; arXiv; local PDF,full text,included,Peer-reviewed survey directly focused on agent evaluation.,KDD 2025 formal version preferred.,已阅读全文,2026-08-13,background
Evolutionary Perspectives on the Evaluation of LLM-Based AI Agents: A Comprehensive Survey,Zhu et al.,2026,10.1007/s11704-026-51590-2,2506.11102,FCS; arXiv; local PDF,full text,included,Peer-reviewed benchmark-evolution survey.,Formal FCS 2026 version preferred.,已阅读全文,2026-08-13,background
From benchmarks to deployment: a comprehensive review of agentic AI evaluation,Authors on publisher record,2026,10.1007/s10462-026-11571-0,,Springer; Crossref,abstract/metadata,included,PRISMA-style review of deployment validity.,Formal journal version.,仅阅读摘要,2026-08-13,background
Benchmarking LLM Judges for Mobile Agent Evaluation,Authors on arXiv,2026,,2608.11434,arXiv,abstract,watchlist,Very recent evaluator meta-benchmark near search cutoff.,Preprint released near cutoff.,仅阅读摘要,2026-08-13,supporting-benchmark
AJ-Bench: Benchmarking Agent-as-a-Judge for Environment-Aware Evaluation,Shi et al.,2026,10.18653/v1/2026.findings-acl.1269,,ACL Anthology; Crossref; OpenAlex,full text,included,Core meta-evaluation benchmark for environment-aware agent judges and process/state verification.,Findings of ACL 2026 formal version; DOI verified.,已阅读全文,2026-08-14,core-method
YC-Bench: Benchmarking AI Agents for Long-Term Planning and Consistent Execution,Authors on arXiv,2026,,2604.01212,arXiv,abstract,included,Long-running delayed-feedback planning benchmark.,Preprint; no formal version verified.,仅阅读摘要,2026-08-13,supporting-benchmark
Evo-Memory: Benchmarking LLM Agent Test-time Learning with Self-Evolving Memory,Authors on arXiv,2025,,2511.20857,arXiv,abstract,included,Streaming memory and test-time learning benchmark.,Preprint; no formal version verified.,仅阅读摘要,2026-08-13,background
MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,Juneja et al.,2025,,2510.15186,arXiv,abstract,included,Direct privacy-utility evaluation for collaborating agents.,Preprint; no formal version verified.,仅阅读摘要,2026-08-13,supporting-benchmark
MMAU: A Holistic Benchmark of Agent Capabilities Across Diverse Domains,Authors on ACL record,2025,10.18653/v1/2025.findings-naacl.267,,ACL Anthology,abstract,included,Broad diagnostic agent benchmark.,Formal Findings NAACL 2025 version.,仅阅读摘要,2026-08-13,background
